A_face_a,A_face_b,B_face_a,B_face_b,K_edge_has_nonzero_circulation,K_edge_kappa_flip_abs,K_edge_kappa_flips,K_edge_sign_identity,K_edge_sign_kappa,assembly_index,birth_kappa_flip_abs,birth_kappa_flips,birth_sign_identity,birth_sign_kappa,carrier_mode,context,control_reason,cycle_closed_by_order,cycle_edge_count,cycle_operator_norm,cycle_order,data_wedge_control_P_isotropic_resid,data_wedge_control_P_rank,data_wedge_control_QP_dominance,data_wedge_control_QP_rank,data_wedge_control_QP_ratio,data_wedge_control_QP_svals_json,data_wedge_control_Q_isotropic_resid,data_wedge_control_Q_rank,data_wedge_control_basis_dim,data_wedge_control_effective_nonzero_ratio,data_wedge_control_form_rank,data_wedge_control_lagrangian_QP_gate,data_wedge_control_max_sv,data_wedge_control_min_sv,data_wedge_control_nondeg_ratio,data_wedge_control_nondegenerate_gate,data_wedge_control_skew_resid,data_wedge_control_svals_json,data_wedge_control_symplectic_gate_pass,face_a,face_b,ident_link_K_edge_over_abs,ident_link_birth_over_abs,ident_link_circulation_K_edge,ident_link_circulation_abs,ident_link_circulation_birth,ident_link_face_count,interface_norm,kappa_link_K_edge_over_abs,kappa_link_birth_over_abs,kappa_link_circulation_K_edge,kappa_link_circulation_abs,kappa_link_circulation_birth,kappa_link_face_count,lambda_used,level,link_count,link_graph_closed_cycle,link_graph_link_edges,link_graph_link_vertices,omega_P_isotropic_resid,omega_P_rank,omega_QP_dominance,omega_QP_rank,omega_QP_ratio,omega_QP_svals_json,omega_Q_isotropic_resid,omega_Q_rank,omega_basis_dim,omega_candidate,omega_effective_nonzero_ratio,omega_form_rank,omega_lagrangian_QP_gate,omega_max_sv,omega_min_sv,omega_nondeg_ratio,omega_nondegenerate_gate,omega_skew_resid,omega_svals_json,omega_symplectic_gate_pass,pair_exchange_P_isotropic_resid,pair_exchange_P_rank,pair_exchange_QP_dominance,pair_exchange_QP_rank,pair_exchange_QP_ratio,pair_exchange_QP_svals_json,pair_exchange_Q_isotropic_resid,pair_exchange_Q_rank,pair_exchange_basis_dim,pair_exchange_effective_nonzero_ratio,pair_exchange_form_rank,pair_exchange_lagrangian_QP_gate,pair_exchange_max_sv,pair_exchange_min_sv,pair_exchange_nondeg_ratio,pair_exchange_nondegenerate_gate,pair_exchange_skew_resid,pair_exchange_svals_json,pair_exchange_symplectic_gate_pass,pair_label,primary_candidate,shared_edge
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.0,"[0, 1, 2] -> [0, 2, 3] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6]",,,,,,,,,,,,,,,,,,,,,,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,1.7320508075684524,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.4627456165965843,2,0.601213338193447,2,0.7814054285623584,"[1.1143563065407764, 0.8707640672844437]",0.2509014513241574,2,4,"union_plus_link_cycle_birth_order_edge_complement_base_norm_(0, 2)",0.24920088875036978,4,False,1.61395210564167,0.40219829912668403,0.24920088875036978,True,1.7821487602210718e-16,"[1.61395210564167, 1.6139521056416697, 0.40219829912668403, 0.40219829912668403]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.6115968363208591,2,0.46136394039713985,2,0.7802973337241222,"[0.3808005727905876, 0.2971376716298943]",0.4474773053499374,2,4,"link_cycle_only_address_order_identity_(0, 2)",0.06751146930755245,4,False,0.738603123968453,0.04986418213432608,0.06751146930755245,True,2.2278115918974753e-33,"[0.738603123968453, 0.7386031239684526, 0.0498641821343261, 0.04986418213432608]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,1.0,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.32368368416244125,2,0.6477434053100161,2,0.7848253324029446,"[1.0079684931523105, 0.7910792076907422]",0.2368244800709893,2,4,"union_plus_link_cycle_address_order_identity_unit_(0, 2)",0.3782309800897235,4,True,1.3083042876982056,0.4948412129920582,0.3782309800897235,True,1.7983198619736564e-16,"[1.3083042876982056, 1.308304287698205, 0.49484121299205847, 0.4948412129920582]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,0.35355339059321955,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.1317125597062295,2,0.697626334334807,2,0.7854783640638933,"[0.942926179751404, 0.7406481131049348]",0.09636802841008445,2,4,"union_plus_link_cycle_address_order_identity_quarter_base_norm_(0, 2)",0.6614667007754758,4,True,1.013635833861206,0.6704863508126316,0.6614667007754758,True,2.050765007180539e-16,"[1.013635833861206, 1.0136358338612057, 0.670486350812632, 0.6704863508126316]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,0.7071067811864391,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.2468135799575995,2,0.6732284684484516,2,0.7851767678120831,"[0.9713350456653834, 0.762669711618933]",0.18058215661739707,2,4,"union_plus_link_cycle_address_order_identity_half_base_norm_(0, 2)",0.49121172116277906,4,True,1.1642422091466471,0.571889419405772,0.49121172116277906,True,1.915477529533565e-16,"[1.1642422091466471, 1.164242209146647, 0.571889419405772, 0.571889419405772]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.449489742783178,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,1.4142135623728782,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.4045890002224749,2,0.6118334677044728,2,0.7842552237749592,"[1.0775046720423078, 0.8450386676918884]",0.29601918264141874,2,4,"union_plus_link_cycle_address_order_identity_base_norm_(0, 2)",0.2603041117163145,4,False,1.5315398375060958,0.3986661169604333,0.2603041117163145,True,1.6276878004650673e-16,"[1.5315398375060958, 1.5315398375060956, 0.3986661169604335, 0.3986661169604333]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.0848066923698401,2,0.2796023571047105,2,0.881737239817382,"[0.029288833825343488, 0.025825055495510077]",0.9145779730116798,2,4,"link_cycle_only_address_order_edge_projector_(0, 2)",0.9999999999898734,2,False,0.09875207738803207,4.699255544935229e-18,4.758639685545646e-17,False,3.239093420773256e-16,"[0.09875207738803207, 0.09875207738803206, 1.0050869186922728e-17, 4.699255544935229e-18]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,1.0,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.007032319717718371,2,0.7050528639880779,2,0.7856633076427502,"[0.933734911818166, 0.7336012592813577]",0.07583841007444142,2,4,"union_plus_link_cycle_address_order_edge_projector_unit_(0, 2)",0.764179339073676,4,True,0.9462464731114016,0.723102004423832,0.764179339073676,True,2.080200179554665e-16,"[0.9462464731114016, 0.9462464731114014, 0.7231020044238321, 0.723102004423832]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,0.6123724356955175,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.0043156820839548886,2,0.7063339390289083,2,0.7856158537745594,"[0.9334408406719616, 0.7333259229933312]",0.04654146579957839,2,4,"union_plus_link_cycle_address_order_edge_projector_quarter_base_norm_(0, 2)",0.777207892483304,4,True,0.9382818565483272,0.7292400642840243,0.777207892483304,True,2.0794775441199616e-16,"[0.9382818565483272, 0.9382818565483272, 0.7292400642840247, 0.7292400642840243]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,1.224744871391035,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.008598030138838246,2,0.7040342448938017,2,0.7857012343706723,"[0.9339700981184831, 0.7338214589577757]",0.09272344854553641,2,4,"union_plus_link_cycle_address_order_edge_projector_half_base_norm_(0, 2)",0.7544764093799103,4,True,0.9523116277037524,0.7184966574814196,0.7544764093799103,True,2.1101686378702432e-16,"[0.9523116277037524, 0.9523116277037524, 0.7184966574814198, 0.7184966574814196]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,1.4142135623730951,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,2.44948974278207,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.016936909108125373,2,0.695108385865413,2,0.7860411275707213,"[0.936083958750363, 0.735800490437786]",0.1826521418102271,2,4,"union_plus_link_cycle_address_order_edge_projector_base_norm_(0, 2)",0.6857256701358211,4,True,0.9989108164486497,0.6849787890158562,0.6857256701358211,True,2.235843382667633e-16,"[0.9989108164486497, 0.9989108164486497, 0.6849787890158562, 0.6849787890158562]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.0,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.6604658026362236,2,0.4666611477560416,2,0.7718451080247947,"[0.35151173896524424, 0.2713126161343842]",0.35810566861807464,2,4,"link_cycle_only_address_order_edge_complement_(0, 2)",0.025865155340931447,4,False,0.6726043856146894,0.017397016916941562,0.025865155340931447,True,1.1667835913531919e-16,"[0.6726043856146894, 0.6726043856146893, 0.017397016916941625, 0.017397016916941562]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.0,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,1.0,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.3257301842216054,2,0.6567755482538906,2,0.7838382687465731,"[0.9972942655972843, 0.7817174105774443]",0.17661145352897809,2,4,"union_plus_link_cycle_address_order_edge_complement_unit_(0, 2)",0.4273251298303358,4,True,1.2545185000213033,0.536087280896589,0.4273251298303358,True,1.8881592492054763e-16,"[1.2545185000213033, 1.254518500021303, 0.5360872808965892, 0.536087280896589]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.0,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,0.4330127018921131,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.15745974927932765,2,0.6956714550850441,2,0.7852215316994526,"[0.9456008979214621, 0.7425061854430534]",0.08537494079336218,2,4,"union_plus_link_cycle_address_order_edge_complement_quarter_base_norm_(0, 2)",0.6491731584874016,4,True,1.0250008837863607,0.6654030611806191,0.6491731584874016,True,2.132229784655031e-16,"[1.0250008837863607, 1.0250008837863607, 0.6654030611806192, 0.6654030611806191]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.0,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,0.8660254037842262,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.29107926550282864,2,0.6672198105884138,2,0.7842323839928339,"[0.9816790797815632, 0.7698645250537709]",0.15782366714172033,2,4,"union_plus_link_cycle_address_order_edge_complement_half_base_norm_(0, 2)",0.4727810510879741,4,True,1.1952774839670877,0.5651045452122216,0.4727810510879741,True,2.0367951175229703e-16,"[1.1952774839670877, 1.1952774839670872, 0.5651045452122216, 0.5651045452122216]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,1,2.0,"[0, 1, 2] -> [0, 2, 4] -> [0, 2, 5] -> [0, 2, 6] -> [0, 2, 3]",,,,,,,,,,,,,,,,,,,,,,0.045412053887666275,-0.3603346161183082,0.5041098118950215,11.100793043670068,-4.0,5,,0.09261192724166407,-0.6711338653045247,1.1039458090780947,11.920125646422798,-8.0,5,1.7320508075684524,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.4627456165965843,2,0.601213338193447,2,0.7814054285623584,"[1.1143563065407764, 0.8707640672844437]",0.2509014513241574,2,4,"union_plus_link_cycle_address_order_edge_complement_base_norm_(0, 2)",0.24920088875036978,4,False,1.61395210564167,0.40219829912668403,0.24920088875036978,True,1.7821487602210718e-16,"[1.61395210564167, 1.6139521056416697, 0.40219829912668403, 0.40219829912668403]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,0,0.0,"[0, 2, 3] -> [0, 2, 6] -> [0, 1, 2] -> [0, 2, 5] -> [0, 2, 4]",,,,,,,,,,,,,,,,,,,,,,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",0.0,2,0.0,0,0.0,"[0.0, 0.0]",0.0,2,4,"link_cycle_only_geometric_angle_identity_(0, 2)",0.0,0,False,0.0,0.0,0.0,False,0.0,"[0.0, 0.0, 0.0, 0.0]",False,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,0,0.0,"[0, 2, 3] -> [0, 2, 6] -> [0, 1, 2] -> [0, 2, 5] -> [0, 2, 4]",,,,,,,,,,,,,,,,,,,,,,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,0.0,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",2.299169077103423e-17,2,0.7071067811861261,2,0.7855873571765363,"[0.93326435086812, 0.7331606749463476]",4.327400734980611e-17,2,4,"union_plus_link_cycle_geometric_angle_identity_unit_(0, 2)",0.7855873571765358,4,True,0.9332643508681202,0.7331606749463474,0.7855873571765358,True,2.0672306077682954e-16,"[0.9332643508681202, 0.9332643508681201, 0.7331606749463476, 0.7331606749463474]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
"[3, 4, 5]","[0, 1, 2]","[1, 4, 6]","[0, 2, 3]",True,0.999999999999378,False,1.0,1.0,0,0.9999999999999166,False,-1.0,-1.0,motif_only,shared_edge,,True,0,0.0,"[0, 2, 3] -> [0, 2, 6] -> [0, 1, 2] -> [0, 2, 5] -> [0, 2, 4]",,,,,,,,,,,,,,,,,,,,,,0.04541205388766627,-0.3603346161183081,0.5041098118950215,11.10079304367007,-4.0,5,,0.09261192724166409,-0.6711338653045248,1.1039458090780947,11.920125646422797,-8.0,5,0.0,motif,,True,"[(1, 3), (1, 5), (3, 6), (4, 5), (4, 6)]","[1, 3, 4, 5, 6]",2.299169077103423e-17,2,0.7071067811861261,2,0.7855873571765363,"[0.93326435086812, 0.7331606749463476]",4.327400734980611e-17,2,4,"union_plus_link_cycle_geometric_angle_identity_quarter_base_norm_(0, 2)",0.7855873571765358,4,True,0.9332643508681202,0.7331606749463474,0.7855873571765358,True,2.0672306077682954e-16,"[0.9332643508681202, 0.9332643508681201, 0.7331606749463476, 0.7331606749463474]",True,,,,,,,,,,,,,,,,,,,,,True,"[0, 2]"
